twa/tws,6,8,10,12,14,16,20
0,0,0,0,0,0,0,0
52,6.42,7.51,7.87,8.01,8.1,8.21,8.36
60,6.81,7.74,8.09,8.28,8.4,8.49,8.75
75,7.12,7.9,8.36,8.74,8.96,9.11,9.39
90,7.08,7.9,8.41,8.96,9.43,9.76,10.12
110,6.86,7.96,8.51,8.93,9.36,9.81,11.09
120,6.68,7.9,8.6,9.24,9.69,10.16,11.35
135,6.06,7.48,8.22,8.96,9.83,10.83,12.45
150,5.11,6.43,7.47,8.17,8.84,9.59,11.7
