         12276741 function calls (11869163 primitive calls) in 10.052 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   111122    0.190    0.000    0.725    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/numbers.py:1202(_new)
332861/332858    0.255    0.000    0.600    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
    13404    0.018    0.000    0.595    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/numbers.py:2266(__lt__)
   151671    0.124    0.000    0.525    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/compatibility.py:279(is_sequence)
     3011    0.012    0.000    0.471    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/common.py:1920(_eval_permute_cols)
   812565    0.469    0.000    0.469    0.000 {built-in method builtins.hasattr}
75707/75657    0.157    0.000    0.456    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/containers.py:48(__new__)
1608234/1607879    0.403    0.000    0.452    0.000 {built-in method builtins.isinstance}
    36259    0.127    0.000    0.452    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/matrices.py:1783(key2ij)
     3086    0.005    0.000    0.441    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/dense.py:294(__new__)
    37791    0.128    0.000    0.428    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/containers.py:54(__getitem__)
        1    0.000    0.000    0.427    0.427 /Users/dorukhansergin/Projects/VRTechnical/AutoNavigate/raceviz.py:37(render_race_animation)
   111125    0.182    0.000    0.408    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/numbers.py:149(mpf_norm)
804079/524104    0.187    0.000    0.406    0.000 {built-in method builtins.len}
      362    0.002    0.000    0.390    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/polygon.py:647(is_convex)
