         12276741 function calls (11869163 primitive calls) in 10.052 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      169    0.001    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/cbook/__init__.py:1682(normalize_kwargs)
    15725    0.003    0.000    0.003    0.000 {method 'extend' of 'list' objects}
     4049    0.003    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/__init__.py:686(__getitem__)
        8    0.000    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/ticker.py:2214(_raw_ticks)
       96    0.000    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/markers.py:215(__init__)
    34/32    0.000    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axis.py:1941(getter)
     7318    0.002    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/facts.py:533(<genexpr>)
      446    0.000    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/numpy/core/_asarray.py:14(asarray)
       12    0.000    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axis.py:770(cla)
       75    0.001    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/expr.py:702(equals)
    15462    0.003    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/basic.py:1845(_eval_simplify)
        6    0.000    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axis.py:228(set_clip_path)
        1    0.000    0.000    0.003    0.003 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/quiver.py:462(__init__)
      857    0.001    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/containers.py:104(__hash__)
       22    0.000    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/patches.py:258(get_transform)
    40/36    0.000    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axes/_base.py:649(viewLim)
     9033    0.003    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/combinatorics/permutations.py:934(<genexpr>)
    41/37    0.000    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axes/_base.py:635(_unstale_viewLim)
       73    0.000    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/font_manager.py:932(copy)
       17    0.000    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/yaml/parser.py:446(parse_block_mapping_value)
       15    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:870(_find_spec)
     3011    0.003    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/combinatorics/permutations.py:921(<listcomp>)
      513    0.002    0.000    0.003    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/font_manager.py:1192(score_stretch)
      230    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/markers.py:230(_recache)
      572    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/basic.py:1517(<genexpr>)
        4    0.000    0.000    0.002    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axis.py:1285(get_minorticklocs)
        8    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/ticker.py:775(set_locs)
       16    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/patches.py:791(get_patch_transform)
       16    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/patches.py:761(_update_patch_transform)
       19    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/lines.py:1005(get_path)
      680    0.001    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/posixpath.py:75(join)
       15    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
   169/14    0.001    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/abc.py:196(__subclasscheck__)
      6/2    0.000    0.000    0.002    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/yaml/composer.py:99(compose_sequence_node)
       15    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
       19    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/lines.py:650(recache)
       38    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/lines.py:1146(set_marker)
        1    0.000    0.000    0.002    0.002 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/combinatorics/perm_groups.py:1(<module>)
      102    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/basic.py:513(as_dummy)
      134    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(any)
     1784    0.002    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/line.py:675(p1)
      622    0.002    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/cbook/__init__.py:2045(_setattr_cm)
      171    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/numpy/core/_asarray.py:86(asanyarray)
  877/605    0.000    0.000    0.002    0.000 {built-in method builtins.issubclass}
       15    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
        5    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/combinatorics/perm_groups.py:123(__new__)
    10373    0.002    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/logic/boolalg.py:322(__bool__)
       35    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:1399(transform)
      726    0.002    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/reductions.py:50(row_swap)
     3011    0.002    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/reductions.py:210(<listcomp>)
     1484    0.001    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/enum.py:267(__call__)
        1    0.000    0.000    0.002    0.002 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axes/_base.py:2446(autoscale_view)
       39    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/lines.py:1277(update_from)
     9301    0.002    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/logic/boolalg.py:390(__bool__)
      513    0.001    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/font_manager.py:1154(<listcomp>)
       82    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
      312    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/contextlib.py:79(__enter__)
      134    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2249(any)
        2    0.000    0.000    0.002    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axis.py:664(__init__)
        5    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/artist.py:263(get_tightbbox)
        2    0.000    0.000    0.002    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axes/_base.py:2512(handle_single_axis)
      303    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/artist.py:52(_stale_axes_callback)
       16    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/ticker.py:2889(__init__)
      117    0.001    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:766(__init__)
       16    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/ticker.py:2096(__init__)
     3056    0.002    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/facts.py:482(_tell)
        1    0.000    0.000    0.002    0.002 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/multipledispatch/conflict.py:56(ordering)
       33    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/path.py:98(__init__)
     9096    0.002    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/inspect.py:2514(kind)
       44    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:815(from_extents)
       18    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/function.py:117(arity)
       16    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/ticker.py:2169(set_params)
       46    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/font_manager.py:713(_from_any)
       48    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/basic.py:1163(has)
        1    0.000    0.000    0.002    0.002 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axis.py:1969(__init__)
       26    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/text.py:252(update_from)
       15    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:830(get_data)
       98    0.000    0.000    0.002    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/basic.py:1210(<genexpr>)
        8    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/ticker.py:247(format_ticks)
     1784    0.001    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/line.py:696(p2)
        1    0.000    0.000    0.001    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/multipledispatch/conflict.py:24(ambiguities)
        1    0.000    0.000    0.001    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/multipledispatch/conflict.py:27(<setcomp>)
      650    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/numbers.py:685(__float__)
     1928    0.001    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:1043(x)
        1    0.000    0.000    0.001    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axes/_base.py:1917(add_collection)
       50    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/basic.py:1212(_has)
       58    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
       55    0.001    0.000    0.001    0.000 {built-in method posix.stat}
       34    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axis.py:538(update_position)
        1    0.000    0.000    0.001    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/collections.py:1103(__init__)
       57    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/lines.py:1190(set_markerfacecolor)
        7    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/expr.py:847(_eval_is_negative)
      143    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(amin)
       35    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:2342(transform_affine)
     1780    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      312    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/contextlib.py:85(__exit__)
       25    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/yaml/parser.py:427(parse_block_mapping_key)
   155/58    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/typing.py:1145(__subclasscheck__)
       38    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/random.py:263(shuffle)
        1    0.000    0.000    0.001    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axes/_base.py:982(_gen_axes_spines)
        5    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axes/_base.py:997(<genexpr>)
       10    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/expr.py:1900(as_real_imag)
        6    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/patches.py:41(__init__)
        1    0.000    0.000    0.001    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/multipledispatch/conflict.py:62(<listcomp>)
     3011    0.001    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/matrices.py:760(__len__)
        4    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/spines.py:484(linear_spine)
       49    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/yaml/parser.py:273(parse_node)
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
       19    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/inspect.py:3063(signature)
       84    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:1267(__add__)
        4    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/spines.py:156(get_window_extent)
        1    0.000    0.000    0.001    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/collections.py:73(__init__)
       19    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/inspect.py:2811(from_callable)
      144    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(amax)
        1    0.000    0.000    0.001    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axis.py:2257(__init__)
      312    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/contextlib.py:157(helper)
        1    0.000    0.000    0.001    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/tkinter/__init__.py:2487(create_image)
        1    0.000    0.000    0.001    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/combinatorics/subsets.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/tkinter/__init__.py:2470(_create)
       77    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/cbook/__init__.py:1281(_to_unmasked_float_array)
    46/36    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:2366(get_affine)
     2746    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
       29    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:1937(rotate_deg)
      453    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/combinatorics/permutations.py:451(<listcomp>)
        3    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/gridspec.py:751(get_position)
      349    0.001    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/numbers.py:2091(__new__)
      529    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/multipledispatch/conflict.py:43(edge)
       38    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/expr.py:260(__rtruediv__)
     1932    0.001    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:1058(y)
       16    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/expr.py:857(_eval_is_extended_positive_negative)
      143    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2714(amin)
      775    0.001    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/basic.py:1988(__init__)
       29    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:1921(rotate)
        4    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/spines.py:31(__init__)
       33    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/yaml/scanner.py:668(fetch_plain)
       84    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:2433(composite_transform_factory)
       19    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/inspect.py:2183(_signature_from_callable)
     1081    0.001    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/cbook/__init__.py:2254(_check_in_list)
     1484    0.001    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/enum.py:517(__new__)
      655    0.001    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/multipledispatch/conflict.py:7(supercedes)
      653    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/yaml/scanner.py:145(need_more_tokens)
      185    0.001    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/yaml/reader.py:114(get_mark)
      253    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/multipledispatch/conflict.py:19(ambiguous)
        1    0.000    0.000    0.001    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/quiver.py:549(get_datalim)
      143    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:1832(__init__)
      265    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/basic.py:1221(<genexpr>)
        5    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/yaml/parser.py:381(parse_block_sequence_entry)
      144    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2589(amax)
      972    0.001    0.000    0.001    0.000 /Users/dorukhansergin/Projects/VRTechnical/AutoNavigate/windfields.py:36(wind_at)
        4    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/spines.py:234(cla)
      937    0.001    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/sre_parse.py:163(__getitem__)
       57    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:309(xmin)
       19    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(atleast_1d)
        8    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/ticker.py:860(_set_format)
       16    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:1957(rotate_deg_around)
       34    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/yaml/parser.py:270(parse_block_node_or_indentless_sequence)
       17    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/yaml/scanner.py:545(fetch_value)
     4350    0.001    0.000    0.001    0.000 {method 'union' of 'set' objects}
       16    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/_print_helpers.py:27(__str__)
       25    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:806(from_bounds)
       19    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/numpy/core/shape_base.py:24(atleast_1d)
        8    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/ticker.py:784(_compute_offset)
        3    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/mpmath/identification.py:533(identify)
    82/81    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:1715(transform)
       44    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(reshape)
      409    0.001    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:1702(__init__)
       91    0.001    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/cbook/__init__.py:2219(_check_isinstance)
        5    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/combinatorics/polyhedron.py:384(<listcomp>)
       54    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/sre_compile.py:223(_compile_charset)
      515    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/logging/__init__.py:1286(debug)
      670    0.001    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/random.py:223(_randbelow)
        2    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axes/_base.py:3216(set_xlim)
      216    0.001    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/lines.py:1244(set_ydata)
        2    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:885(update_from_data_xy)
       52    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/posixpath.py:376(abspath)
        4    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/spines.py:221(register_axis)
       33    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/yaml/scanner.py:1270(scan_plain)
    89/88    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/transforms.py:1794(transform_affine)
      253    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/multipledispatch/conflict.py:12(consistent)
      312    0.001    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/contextlib.py:59(__init__)
      148    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/figure.py:42(_stale_figure_callback)
       75    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(dot)
     3109    0.001    0.000    0.001    0.000 {method 'pop' of 'set' objects}
      390    0.000    0.000    0.001    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/numbers.py:2963(__hash__)
       26    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(column_stack)
